tc,f,df,TS,UL95
54772.16,1.449e-07,6.647e-08,50.683622,False
54773.16,1.75e-07,7.863000000000001e-08,20.776816,7.997180e-08
54774.16,8.621e-08,6.007e-08,69.659653,False
54775.16,2.2260000000000002e-07,8.741e-08,57.198824,False
54776.16,1.198e-07,7.415e-08,14.903941,1.436243e-07
54777.16,1.328e-07,7.418999999999999e-08,9.988089,7.159304e-08
54778.16,6e-08,3.1190000000000003e-08,43.658716999999996,False
54779.16,6.447000000000001e-09,6.585999999999999e-09,25.85116,False
54780.16,1.528e-07,7.528e-08,62.254026,False
54781.16,2.082e-07,8.515e-08,30.701384,False
54782.16,1.535e-07,6.554e-08,24.010371,7.988368e-08
54783.16,1.4470000000000002e-07,6.392e-08,35.347746,False
54784.16,2.2e-07,8.132e-08,48.352744,False
54785.16,1.027e-07,6.758e-08,14.948844,1.218349e-07
54786.16,2.107e-07,9.86e-08,28.274385,False
54787.16,2.564e-08,7.203e-08,28.274385,2.209865e-12
54788.16,1.066e-07,6.328999999999999e-08,25.182570000000002,False
54789.16,2.471e-07,8.263999999999999e-08,53.343885,False
54790.16,6.466e-08,5.7759999999999996e-08,16.935786,7.930759e-08
54791.16,1.1220000000000001e-07,7.941e-08,9.338122,7.065829e-08
54792.16,1.8859999999999998e-07,1.0230000000000001e-07,15.954881,9.685672e-08
54793.16,7.018e-08,5.756e-08,9.192406,8.652017e-08
54794.16,1.967e-07,1.085e-07,17.503664999999998,1.054163e-07
54795.16,1.742e-07,8.301e-08,16.579064000000002,1.014729e-07
54796.16,3.665e-07,1.2210000000000001e-07,56.168625,False
54797.16,1.618e-07,7.192e-08,36.303526,False
54798.16,1.068e-07,8.061e-08,27.210048999999998,False
54799.16,2.049e-07,8.239000000000001e-08,63.365274,False
54800.16,7.185e-08,5.945e-08,16.307882,8.648612e-08
54801.16,1.477e-07,8.137000000000001e-08,28.614487,False
54802.16,3.379e-07,1.085e-07,53.71643100000001,False
54803.16,1.889e-07,1.0550000000000001e-07,10.845466,1.056796e-07
54804.16,1.388e-07,6.654e-08,36.507711,False
54805.16,1.579e-07,9.968999999999999e-08,29.691444,False
54806.16,1.381e-07,6.748999999999999e-08,57.908131000000004,False
54807.16,1.693e-07,8.409000000000001e-08,29.715884999999997,False
54808.16,2.818e-07,9.240000000000001e-08,66.821065,False
54809.16,1.918e-07,7.942999999999999e-08,27.613716999999998,False
54810.16,4.628e-08,3.04e-08,23.281413,3.937481e-08
54811.16,1.016e-07,6.182999999999999e-08,33.901057,False
54812.16,2.4280000000000003e-07,1.0189999999999999e-07,24.620547,1.343992e-07
54813.16,2.7170000000000003e-07,8.037000000000001e-08,58.44031700000001,False
54814.16,4.13e-08,5.0679999999999995e-08,34.771135,False
54815.16,2.683e-07,8.285e-08,68.622529,False
54816.16,2.79e-07,8.532e-08,43.331635999999996,False
54817.16,2.831e-07,1.0880000000000001e-07,33.032159,False
54818.16,1.466e-07,5.892e-08,60.148393000000006,False
54819.16,1.12e-07,6.442e-08,14.216399,1.363186e-07
54820.16,1.554e-07,5.867e-08,32.956075,False
54821.16,2.7019999999999997e-07,9.339e-08,50.610164000000005,False
54822.16,1.32e-07,6.378999999999999e-08,43.231702,False
54823.16,1.24e-07,7.881e-08,18.426772,6.523042e-08
54824.16,1.7600000000000001e-07,8.344e-08,31.402784999999998,False
54825.16,9.205999999999999e-08,5.266e-08,24.940081,9.144474e-08
54826.16,1.525e-07,7.588e-08,38.961164000000004,False
54827.16,1.407e-07,5.2839999999999995e-08,79.85680699999999,False
54828.16,1.0300000000000001e-07,5.714000000000001e-08,19.243233,1.091044e-07
54829.16,8.671e-08,4.8819999999999996e-08,21.374204000000002,7.771682e-08
54830.16,7.422e-08,5.574e-08,14.378406,9.918204e-08
54831.16,3.2640000000000003e-09,1.6799999999999998e-08,0.048576,2.571644e-08
54832.16,6.725e-08,4.2329999999999996e-08,32.302537,False
54833.16,1.567e-07,6.463e-08,38.957868,False
54834.16,2.877e-07,1.06e-07,47.927935,False
54835.16,2.228e-07,8.044000000000001e-08,43.062798,False
54836.16,1.603e-07,6.804999999999999e-08,32.276969,False
54837.16,1.269e-07,5.6369999999999995e-08,83.675954,False
54838.16,9.098000000000001e-08,4.7779999999999995e-08,23.013448999999998,8.294124e-08
54839.16,1.821e-07,7.488e-08,97.114152,False
54840.16,9.147e-08,4.7910000000000004e-08,34.804652000000004,False
54841.16,1.525e-07,6.965e-08,36.60515,False
54842.16,3.065e-07,1.1460000000000001e-07,15.310668,4.802553e-07
54843.16,7.009e-08,6.067e-08,7.2100990000000005,8.735052e-08
54844.16,7.668e-08,5.849e-08,4.8686419999999995,1.096003e-07
54845.16,9.309e-08,6.816e-08,10.414041000000001,9.752518e-08
54846.16,1.686e-07,8.262999999999999e-08,20.787549,7.434803e-08
54847.16,1.6240000000000002e-08,4.622e-08,0.503938,5.506983e-09
54848.16,1.1509999999999999e-07,7.397e-08,24.086394,1.273592e-07
54849.16,1.68e-07,6.325e-08,72.10399100000001,False
54850.16,2.871e-07,1.066e-07,45.822175,False
54851.16,1.9739999999999998e-07,1.009e-07,23.49213,8.975192e-08
