tc,f,df,TS,UL95
55275.150034722225,1.408754845649869e-06,1.678361235338405e-07,363.58700493449214,1.6500887107948189e-06
55278.150034722225,1.062658636167532e-06,1.5352647667097816e-07,201.93495411883487,1.2846373807298078e-06
55281.150034722225,1.1638075436863514e-06,1.6227301443157688e-07,180.81178867491326,1.4097687440399477e-06
55284.150034722225,7.306986767289837e-07,1.5494344083979195e-07,62.73115799660263,9.62650016706538e-07
55287.14724586553,8.54025421507912e-07,1.5971861791322075e-07,81.15728570520878,1.093829729653984e-06
55290.150034722225,6.455515575263441e-07,1.332545612138725e-07,99.77546720341707,8.234125120563463e-07
55293.150034722225,2.861530721400698e-07,1.3696167489315338e-07,19.789679924517714,4.749578344596782e-07
55296.150034722225,1.5991908124111933e-07,7.452548546003537e-08,21.97762413167584,2.514835342776247e-07
55299.150034722225,2.05561103139787e-07,8.753529732861917e-08,10.004806171267774,3.4463352353866727e-07
55302.146991312795,3.241436201658056e-07,9.305078156370727e-08,22.10434071198506,4.818378827519488e-07
55305.150034722225,2.4472401284932505e-07,8.805828480610538e-08,14.871327252316405,3.860695119917161e-07
55308.150034722225,2.0328837176570318e-07,8.095124803882159e-08,10.880184360628846,3.3912237464373775e-07
55311.150034722225,3.689761435101175e-07,1.0825147952814992e-07,19.736961434615296,5.533918960260023e-07
55317.150034722225,2.0027168478922073e-07,1.0274648375734481e-07,14.802488752999125,3.2569160671099866e-07
55320.150034722225,3.490798796344841e-07,9.835677265307026e-08,31.704043865478525,4.963731556155601e-07
55323.150034722225,2.577057205248525e-07,1.0471486160128821e-07,14.130887490342502,4.1601281132197963e-07
55326.150034722225,5.42650116797788e-07,1.2379305750055703e-07,39.168691930732166,7.491659828001993e-07
55329.150034722225,6.106090742982537e-07,1.298793612126224e-07,55.703381350962445,8.152625959942486e-07
55332.150034722225,4.831938442734667e-07,1.1887013544279569e-07,50.78598474794853,6.58621681049214e-07
