#mjd,flux,flux err
54853.54798611111,1.19785104438,0.0310783455085
54909.39791666667,1.09776451108,0.0152767082336
54909.39884259259,1.10984204877,0.030180781623
54912.3978587963,1.00449015108,0.0853285928082
54912.39878472222,1.15795217043,0.0856954446149
54915.359143518515,1.13606839255,0.0744465141831
54915.36033564815,1.10356629454,0.0351728093673
54918.3509837963,1.17930691617,0.0230820565692
54918.35190972222,1.17777330699,0.0244860968117
54922.33997685185,1.18309079565,0.0388376185065
54922.340902777774,1.1775654849,0.0447846301039
54925.35603009259,1.16500609632,0.0181356630102
54925.35696759259,1.16828462101,0.0161766536053
54928.338796296295,1.17235177753,0.0327726751828
54928.33969907407,1.17502548835,0.0368955868722
54931.33049768519,1.16909415287,0.0270751651986
54931.331400462965,1.14626626574,0.0839279755861
54940.317465277774,1.11425176126,0.0155107451198
54940.318391203706,1.11706170172,0.018472463358
54943.303298611114,1.12424246014,0.0172383849199
54943.30422453704,1.12151148436,0.021231251435
54949.292546296296,1.10443142437,0.0208202417015
54949.29347222222,1.09984403776,0.0176305012834
54952.292395833334,1.10103018077,0.0171608971288
54952.29332175926,1.10963137059,0.0162852151371
54955.28202546296,1.11151414551,0.0196908789305
54955.28295138889,1.14651591957,0.0215494634542
54961.56203703704,1.1828748374,0.0313894383457
54961.56297453704,1.18783742495,0.0260112394555
54962.57640046296,1.21333465368,0.0188113828272
54962.57732638889,1.20554116155,0.0185517514366
54965.55116898148,1.19123016214,0.0252406043372
54965.55210648148,1.19337217684,0.0295862268885
54967.55023148148,1.18973930668,0.0307455840548
54967.551157407404,1.18713585826,0.0329467519161
54968.54300925926,1.16337346119,0.0163717867995
54968.54394675926,1.17001222536,0.0249395396665
54971.54063657407,1.20103218421,0.0178702773785
54971.5415625,1.20689444481,0.0206665151981
54973.529282407406,1.18787818824,0.0173077383314
54973.53021990741,1.18837812421,0.0223580494996
54974.528449074074,1.17332951263,0.0200784544039
54974.529386574075,1.18316719854,0.0191156011042
54976.52309027778,1.20404368414,0.0366515554363
54976.5240162037,1.20229951532,0.0252139559161
54977.52945601852,1.18798593764,0.0173311444355
54977.530381944445,1.18679635157,0.016741821562
54979.51614583333,1.17361186976,0.019602981955
54979.51707175926,1.18125284832,0.0321145944094
54982.51453703704,1.16829129866,0.204475055972
54990.48299768518,1.17684697922,0.0178883627121
54990.483935185184,1.17357515155,0.0170733211607
54996.4666087963,1.17682128484,0.0178713676947
54996.46753472222,1.16912614166,0.0175207887258
54999.45841435185,1.15321239184,0.0268340738247
54999.45935185185,1.14946252187,0.0245757441448
55007.43646990741,1.15399935488,0.0452632809543
55007.43740740741,1.15717117542,0.0204897026319
55008.433958333335,1.18522525692,0.0209193028987
55008.434895833336,1.16715072594,0.0183828238186
55010.42962962963,1.14395432882,0.0175227390917
55010.43056712963,1.15484425299,0.0397842203079
55011.42579861111,1.15749915791,0.0351279758428
55011.426724537036,1.15808204656,0.0282030762314
55017.40935185185,1.16385047792,0.0160779556717
55017.41028935185,1.14663224147,0.02169516501
55018.40665509259,1.17925602462,0.0324687159233
55018.40759259259,1.17535533826,0.0392197431157
55023.39293981482,1.13349558869,0.02073646128
55023.393842592595,1.1299717203,0.026481980824
55024.394108796296,1.16035994693,0.0228645820345
55024.3950462963,1.1761989391,0.0193595407056
55026.39105324074,1.18916805159,0.0239893676462
55026.39197916666,1.17383209996,0.0166129191888
55027.38201388889,1.14396276593,0.0222058008969
55027.38295138889,1.13733940281,0.0361128372395
55029.37663194445,1.17144446576,0.110706999234
55029.37755787037,1.13997670254,0.0321036818349
55032.36824074074,1.14432200813,0.0187473887531
55032.36917824074,1.15239348419,0.0231221113026
55033.37695601852,1.16657078204,0.0341186554193
55033.37788194444,1.15053814093,0.0222573378231
55038.368425925924,1.16254013229,0.0199593898374
55038.36935185185,1.15277734424,0.0334948375559
55041.35275462963,1.1580352016,0.0426616544125
55041.35369212963,1.18165314031,0.0522349833914
55042.36010416667,1.19653584154,0.0167188287452
55042.361030092594,1.1951937487,0.0182329660699
55048.01988425926,1.07829158125,0.0853657421418
55050.98868055556,1.09493603789,0.0153891105437
55053.99390046296,1.15269183721,0.0449146842667
55056.97938657407,1.09599288492,0.0272834647183
55059.964108796295,1.15210760556,0.0403950751552
55062.95751157407,1.17051232054,0.0561867716685
55069.24,1.20826073908,0.0191005123438
55072.231157407405,1.17039668605,0.017163321786
55075.22295138889,1.17792538743,0.0215026798803
55078.21457175926,1.14819209512,0.129517385127
55081.2065162037,1.162212971,0.0231449746586
55084.19829861111,1.18186893751,0.0171420447714
55087.19012731482,1.16710693143,0.0162519790475
55090.18194444444,1.17207517722,0.0339629070754
55093.173946759256,1.15889272445,0.026733500838
55096.16556712963,1.17279538479,0.0181879138706
55099.15380787037,1.17595979568,0.0163188083936
55102.14942129629,1.16745783021,0.0275503611378
55105.14100694445,1.19495036933,0.0165196428128
55108.1328125,1.18338923233,0.0165415090017
55112.12184027778,1.19315435563,0.0177278379389
55115.114016203705,1.1788049613,0.0297262917135
55121.097546296296,1.12713108724,0.0503525905133
55137.05368055555,1.21035374736,0.0182012159752
55140.04585648148,1.19660535941,0.0180991527068
55143.03733796296,1.19600201947,0.0183941349899
55147.02642361111,1.20614607708,0.0307657504848
55152.055810185186,1.2072986245,0.0189633049636
55155.049097222225,1.16591838912,0.0166000987813
55158.040289351855,1.19542371829,0.0219284440204
55162.01621527778,1.18577546807,0.0196912405928
55168.000659722224,1.20951340073,0.0201853840524
55176.9780787037,1.16116472381,0.0455860858519
55183.961851851855,1.20575322448,0.0166001263185
